obj_id,row_obj,col_obj,Area,Perimeter,Energy_1,Entropy_1,Var_Avg,Entr_Avg,Class
testfeature1018,136,218,16081,494,0.0296209807602139,5.35444835019472,0,-0.000144262291094538,cancer
testfeature1018,170,191,14504,458,0.0491931358342594,4.7939132479644,0,-0.000144262291094538,cancer
testfeature1018,117,172,26568,555,0.0455686321684723,4.68206708250506,0,-0.000144262291094538,cancer
testfeature1018,143,262,9794,387,0.0267845991734405,5.4842263939368,0,-0.000144262291094538,cancer
testfeature1018,106,125,29531,652,0.0202832788173652,5.82434253524028,0,-0.000144262291094538,cancer
testfeature1018,105,107,17018,464,0.0373006433248331,5.09388532429439,0,-0.000144262291094538,nocancer
testfeature1018,185,227,14341,457,0.032326289074961,5.14905673128809,0,-0.000144262291094538,nocancer
testfeature1018,107,155,17957,468,0.0612904546225466,4.48969916604158,0,-0.000144262291094538,nocancer
Binary:,2,0,0,0,0,0,0,0,0
Projections W:,10,0,0,0,0,0,0,0,0
Projections H:,10,0,0,0,0,0,0,0,0
RST-Invariant:,0,0,0,0,0,0,0,0,0
Histogram:,2,0,0,0,0,0,0,0,0
Texture:,2,0,0,0,0,0,0,0,0
Tex. Distance:,2,0,0,0,0,0,0,0,0
Quant. Level:,1,0,0,0,0,0,0,0,0
Stats(Avg Rang Var):,100,0,0,0,0,0,0,0,0
Spectral:,0,0,0,0,0,0,0,0,0
Rings:,0,0,0,0,0,0,0,0,0
Sectors:,0,0,0,0,0,0,0,0,0
Images:,8,0,0,0,0,0,0,0,0
